Rank,Feature_Name,Modality,Gene_or_Probe,Mutual_Info,Normalized_MI
1,Meth_LRRC6,Methylation,LRRC6,0.5372691589744663,0.9999999724423665
2,RNA_CENPA,RNA,CENPA,0.4897709489660589,0.8691061458016041
3,RNA_MLPH,RNA,MLPH,0.5102249871331492,0.9254726346750325
4,RNA_FOXC1,RNA,FOXC1,0.47725019985966277,0.8346019242182012
5,RNA_AURKA,RNA,AURKA,0.387472495201133,0.5871958154890696
6,RNA_TBC1D9,RNA,TBC1D9,0.47956028395022976,0.8409679693054316
7,RNA_ZNF552,RNA,ZNF552,0.4625075129760754,0.7939745679279798
8,RNA_MIA,RNA,MIA,0.3810780856873057,0.5695743360643756
9,RNA_ESR1,RNA,ESR1,0.4742899627812118,0.8264442113508378
10,RNA_CDCA8,RNA,CDCA8,0.4243167084719939,0.6887297483201743
11,Meth_CSAD,Methylation,CSAD,0.4710993274161206,0.8176515753277495
12,RNA_FOXA1,RNA,FOXA1,0.47744477719905554,0.8351381333201061
13,RNA_CENPN,RNA,CENPN,0.4134649568508555,0.6588248888487441
14,Meth_CCDC41,Methylation,CCDC41,0.43067681343590225,0.7062566925232405
15,Meth_NUMA1,Methylation,NUMA1,0.44739094167090876,0.752316874649202
16,RNA_CA12,RNA,CA12,0.45031325774302133,0.7603700861968564
17,RNA_THSD4,RNA,THSD4,0.45726013075497574,0.7795140242854959
18,Meth_PA2G4P4,Methylation,PA2G4P4,0.44154150615220433,0.7361972145905158
19,Meth_CRNKL1,Methylation,CRNKL1,0.4313560785612205,0.7081285864649445
20,RNA_FSIP1,RNA,FSIP1,0.424183192215448,0.6883618091128874
21,Meth_ARID2,Methylation,ARID2,0.43110854763177575,0.707446449799979
22,RNA_CCNE1,RNA,CCNE1,0.4113570960555324,0.6530161233083787
23,RNA_PPP1R14C,RNA,PPP1R14C,0.40869793009543653,0.6456880911966802
24,RNA_NAT1,RNA,NAT1,0.4068139757499578,0.640496358846081
25,RNA_GATA3,RNA,GATA3,0.4373529694213314,0.7246545985501996
26,Meth_C5orf33,Methylation,C5orf33,0.4365816965020657,0.7225291529014224
27,RNA_CT62,RNA,CT62,0.4350292177537427,0.7182508888550406
28,Meth_HTT,Methylation,HTT,0.4434154859386765,0.7413614594169075
29,Meth_NPFFR1,Methylation,NPFFR1,0.4180967911509834,0.6715891280864411
30,RNA_C6orf97,RNA,C6orf97,0.4293502246380563,0.7026009277249862
31,Meth_TLE3,Methylation,TLE3,0.42441190712724475,0.6889920932859033
32,RNA_TFF3,RNA,TFF3,0.4039404255783656,0.6325775345801278
33,RNA_SLC7A8,RNA,SLC7A8,0.4028876479464616,0.6296763285595782
34,RNA_PRR15,RNA,PRR15,0.4191148088983021,0.674394544090774
35,Meth_MGC23270,Methylation,MGC23270,0.41970038542361787,0.6760082544216689
36,Meth_CLK4,Methylation,CLK4,0.40545537995233905,0.6367523903307012
37,RNA_ACADSB,RNA,ACADSB,0.4033170294758486,0.6308596024442231
38,Meth_LRBA,Methylation,LRBA,0.4140531931487563,0.6604459288834656
39,RNA_XBP1,RNA,XBP1,0.42958044013623753,0.7032353471589736
40,RNA_KDM4B,RNA,KDM4B,0.38378495107664024,0.5770338165152961
41,RNA_TFF1,RNA,TFF1,0.3944100637797021,0.6063141127611329
42,RNA_ORC6L,RNA,ORC6L,0.33341626877950037,0.43822964752538074
43,Meth_NR2F6,Methylation,NR2F6,0.40228502128814747,0.6280156320969429
44,RNA_SFRS13B,RNA,SFRS13B,0.4026862550281767,0.629121337335109
45,Meth_RTN4RL1,Methylation,RTN4RL1,0.4238940628154195,0.6875650369070005
46,RNA_TTC36,RNA,TTC36,0.37458852663116127,0.5516906470175755
47,Meth_MAPT,Methylation,MAPT,0.4073789294986585,0.6420532376848708
48,RNA_FAM47E,RNA,FAM47E,0.38692328706971835,0.5856823278454224
49,Meth_LYN,Methylation,LYN,0.3584403825247431,0.5071901832135413
50,Meth_TPD52,Methylation,TPD52,0.3944158121798935,0.606329953991739
