Pathway_ID,Pathway_Name,Entities_Found,Entities_Total,pValue,FDR
R-HSA-8939211,ESR-mediated signaling,11,257,2.0389134824938537e-10,3.914713886388199e-08
R-HSA-9018519,Estrogen-dependent gene expression,9,153,6.998026602644813e-10,6.718105538539021e-08
R-HSA-9006931,Signaling by Nuclear Receptors,11,383,1.2577311192529805e-08,8.049479163219075e-07
R-HSA-9924644,Developmental Lineages of the Mammary Gland,5,81,4.406301719828143e-06,0.00021150248255175086
R-HSA-9734779,Developmental Cell Lineages of the Integumentary System,5,122,3.1205791952815254e-05,0.0011858200942069796
R-HSA-9927426,Developmental Lineage of Mammary Gland Alveolar Cells,3,41,0.00025512088488244267,0.008163868316238165
R-HSA-9927418,Developmental Lineage of Mammary Gland Luminal Epithelial Cells,3,50,0.0004541723927328212,0.012262654603786172
R-HSA-381183,ATF6 (ATF6-alpha) activates chaperone genes,2,15,0.0009342344438439953,0.022421626652255888
R-HSA-381119,Unfolded Protein Response (UPR),4,156,0.0011798078332823092,0.02249590409483937
R-HSA-381033,ATF6 (ATF6-alpha) activates chaperones,2,17,0.0011954657049285666,0.02249590409483937
R-HSA-69620,Cell Cycle Checkpoints,5,278,0.0013605327189414318,0.02249590409483937
R-HSA-9830369,Kidney development,3,75,0.0014557135183103087,0.02249590409483937
R-HSA-69278,"Cell Cycle, Mitotic",7,587,0.0016068502924885264,0.02249590409483937
R-HSA-8866910,TFAP2 (AP-2) family regulates transcription of growth factors and their receptors,2,21,0.0018105545002452539,0.0235372085031883
R-HSA-141424,Amplification of signal from the kinetochores,3,94,0.0027559655611183453,0.03249499148142654
R-HSA-141444,Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,3,94,0.0027559655611183453,0.03249499148142654
R-HSA-9938206,Developmental Lineage of Mammary Stem Cells,2,28,0.0031767218538565345,0.03249499148142654
R-HSA-9734767,Developmental Cell Lineages,5,340,0.003249499148142654,0.03249499148142654
R-HSA-381070,IRE1alpha activates chaperones,3,101,0.003369756427803905,0.032907673399073856
R-HSA-2219530,Constitutive Signaling by Aberrant PI3K in Cancer,3,104,0.0036564081554526506,0.032907673399073856
