Metric,Subtype,Estimate,CI_Lower,CI_Upper,Model
Overall Accuracy,All,0.8454545454545455,0.7818181818181819,0.9,SVM (Linear)
Balanced Accuracy,All,0.901757359500446,0.8494185606060606,0.9433908219252499,SVM (Linear)
Macro F1,All,0.8865340750586652,0.8353071405981748,0.9285253349778697,SVM (Linear)
Recall,LumA,0.7796610169491526,0.6727272727272727,0.8769298245614034,SVM (Linear)
Precision,LumA,0.9387755102040817,0.8666666666666667,1.0,SVM (Linear)
Recall,LumB,0.88,0.7368421052631579,1.0,SVM (Linear)
Precision,LumB,0.6111111111111112,0.45161290322580644,0.758655172413793,SVM (Linear)
Recall,Her2,1.0,1.0,1.0,SVM (Linear)
Precision,Her2,1.0,1.0,1.0,SVM (Linear)
Recall,Basal,0.9473684210526315,0.8235294117647058,1.0,SVM (Linear)
Precision,Basal,1.0,1.0,1.0,SVM (Linear)
Overall Accuracy,All,0.8727272727272727,0.8090909090909091,0.9363636363636364,Random Forest
Balanced Accuracy,All,0.8914183764495985,0.8320348218310313,0.9409868777056277,Random Forest
Macro F1,All,0.8959323188734953,0.8391008377657064,0.9430715190732614,Random Forest
Recall,LumA,0.8983050847457628,0.8181498079385404,0.9672263352723426,Random Forest
Precision,LumA,0.8833333333333333,0.8,0.96,Random Forest
Recall,LumB,0.72,0.5184865900383141,0.8928571428571429,Random Forest
Precision,LumB,0.72,0.5357142857142857,0.8948684210526314,Random Forest
Recall,Her2,1.0,1.0,1.0,Random Forest
Precision,Her2,1.0,1.0,1.0,Random Forest
Recall,Basal,0.9473684210526315,0.8235294117647058,1.0,Random Forest
Precision,Basal,1.0,1.0,1.0,Random Forest
Overall Accuracy,All,0.7818181818181819,0.7088636363636364,0.8545454545454545,KNN (k=5)
Balanced Accuracy,All,0.8516503122212311,0.790773551034206,0.9060767269130823,KNN (k=5)
Macro F1,All,0.81359126984127,0.7239603527511502,0.8824479657934233,KNN (k=5)
Recall,LumA,0.711864406779661,0.5931219733656174,0.8226043643263757,KNN (k=5)
Precision,LumA,0.9130434782608695,0.8333333333333334,0.98,KNN (k=5)
Recall,LumB,0.8,0.6470588235294118,0.9523809523809523,KNN (k=5)
Precision,LumB,0.5263157894736842,0.3720764119601329,0.6774193548387096,KNN (k=5)
Recall,Her2,1.0,1.0,1.0,KNN (k=5)
Precision,Her2,0.7777777777777778,0.4444444444444444,1.0,KNN (k=5)
Recall,Basal,0.8947368421052632,0.7333333333333333,1.0,KNN (k=5)
Precision,Basal,1.0,1.0,1.0,KNN (k=5)
